Item ID,Item Name,Category,Subcategory,Collection,Rarity,Source Type,Source Game,Visible Unlock Condition,Internal Unlock Condition,Token Price,Equivalent Token Value,Salvage %,Giftable,Unlimited Placement,Account-Earned Only,Secret,Footprint W,Footprint D,Height Band,Placement Surface,Room Types,Rotation,Style Tags,Animation / VFX,Audio / Ambience,Future Interaction,Collection Completion Set,3D Production Notes
buy-with-game-night-tokens-rustic-cabin-stone-hearth-tv-stand,Stone Hearth TV Stand,Electronics,Electronics,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-antler-style-chandelier,Antler-Style Chandelier,Lighting,Lighting,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,Warm flicker,None,Toggle / lighting preset,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-braided-hearth-rug,Braided Hearth Rug,Rugs,Rugs,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Decorative,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-john-s-wrench-and-cabin-,John's Wrench & Cabin Print,Wall Decor,Wall Decor,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Inspect / memory card,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-pinecone-garland,Pinecone Garland,Decorations,Decorations,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Decorative,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-wooden-blanket-chest,Wooden Blanket Chest,Storage,Storage,Rustic Cabin,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Open/inspect later,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-iron-lantern-floor-lamp,Iron Lantern Floor Lamp,Lighting,Lighting,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,Warm flicker,None,Toggle / lighting preset,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-cedar-wall-panels,Cedar Wall Panels,Wallpaper,Wallpaper,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Apply to room walls,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-wide-plank-pine-floor,Wide Plank Pine Floor,Flooring,Flooring,Rustic Cabin,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Apply to room floor,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-timber-crossbeam-trim,Timber Crossbeam Trim,Ceiling & Trim,Ceiling & Trim,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,0,0,Surface,Ceiling/Trim,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Apply room finish,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-cabin-window-with-deep-s,Cabin Window with Deep Sill,Windows & Doors,Windows & Doors,Rustic Cabin,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Architectural customization,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-low-platform-bed,Low Platform Bed,Beds,Beds,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Sleep animation later,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-charcoal-modular-chair,Charcoal Modular Chair,Seating,Seating,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Sit animation later,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-oak-floating-nightstand,Oak Floating Nightstand,Tables,Tables,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Surface for small decor,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-slatted-wardrobe,Slatted Wardrobe,Storage,Storage,Modern Lodge,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Open/inspect later,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-slim-media-console,Slim Media Console,Electronics,Electronics,Modern Lodge,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,175,175,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-arc-floor-lamp,Arc Floor Lamp,Lighting,Lighting,Modern Lodge,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,Warm flicker,None,Toggle / lighting preset,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-geometric-wool-rug,Geometric Wool Rug,Rugs,Rugs,Modern Lodge,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,20,20,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Decorative,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-minimal-line-art-print,Minimal Line-Art Print,Wall Decor,Wall Decor,Modern Lodge,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Inspect / memory card,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-tall-ceramic-planter,Tall Ceramic Planter,Plants,Plants,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Table,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Ambient animation optional,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-matte-black-wall-sconce,Matte Black Wall Sconce,Lighting,Lighting,Modern Lodge,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Toggle / lighting preset,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-warm-greige-wall-finish,Warm Greige Wall Finish,Wallpaper,Wallpaper,Modern Lodge,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Apply to room walls,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-natural-oak-flooring,Natural Oak Flooring,Flooring,Flooring,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Apply to room floor,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-modern-lodge-black-framed-picture-win,Black-Framed Picture Window,Windows & Doors,Windows & Doors,Modern Lodge,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Modern Lodge; Purchasable,None,None,Architectural customization,Modern Lodge,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-whitewashed-farm-bed,Whitewashed Farm Bed,Beds,Beds,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Sleep animation later,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-slipcover-reading-chair,Slipcover Reading Chair,Seating,Seating,Farmhouse,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Sit animation later,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-turned-leg-side-table,Turned-Leg Side Table,Tables,Tables,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Surface for small decor,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-farmhouse-tallboy-dresser,Farmhouse Tallboy Dresser,Storage,Storage,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Open/inspect later,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-cream-media-hutch,Cream Media Hutch,Electronics,Electronics,Farmhouse,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-mason-jar-pendant,Mason Jar Pendant,Lighting,Lighting,Farmhouse,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Toggle / lighting preset,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-blue-stripe-runner,Blue Stripe Runner,Rugs,Rugs,Farmhouse,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Decorative,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-nana-s-country-kitchen-sign,Nana's Country Kitchen Sign,Wall Decor,Wall Decor,Farmhouse,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Inspect / memory card,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-galvanized-flower-bucket,Galvanized Flower Bucket,Plants,Plants,Farmhouse,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Table,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Ambient animation optional,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-wooden-ladder-blanket-rack,Wooden Ladder Blanket Rack,Storage,Storage,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Open/inspect later,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-shiplap-wallpaper,Shiplap Wallpaper,Wallpaper,Wallpaper,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Farmhouse; Purchasable,None,None,Apply to room walls,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-honey-pine-flooring,Honey Pine Flooring,Flooring,Flooring,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Farmhouse; Purchasable,None,None,Apply to room floor,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-farmhouse-crossbuck-barn-door,Crossbuck Barn Door,Windows & Doors,Windows & Doors,Farmhouse,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Farmhouse; Purchasable,None,None,Architectural customization,Farmhouse,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-glam-suite-velvet-tufted-bed,Velvet Tufted Bed,Beds,Beds,Glam Suite,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Glam Suite; Purchasable,None,None,Sleep animation later,Glam Suite,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-glam-suite-blush-chaise-lounge,Blush Chaise Lounge,Seating,Seating,Glam Suite,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Glam Suite; Purchasable,None,None,Sit animation later,Glam Suite,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-glam-suite-mirrored-nightstand,Mirrored Nightstand,Tables,Tables,Glam Suite,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Glam Suite; Purchasable,None,None,Surface for small decor,Glam Suite,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-glam-suite-gold-trim-dresser,Gold-Trim Dresser,Storage,Storage,Glam Suite,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Glam Suite; Purchasable,None,None,Open/inspect later,Glam Suite,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
